id_matricula,idAluno,status,motivoCancelamento
1,302711046222651896465336623286098068408,Ativa,
2,304847036137157700266945954633346188216,Ativa,
3,305555332740908722873291457079172924344,Ativa,
4,306069523911767110994090480059078149048,Ativa,
5,306533009137844532456983956682453550008,Ativa,
6,307759461727390644517085842803769213880,Ativa,
7,308741889516460597045243028757129987000,Ativa,
8,309345607084853178610191878139517600696,Ativa,
9,309943781137942799618706862556276065208,Ativa,
10,311022866492998529495758003745646183352,Ativa,
11,311434853017300866567752406920297972664,Ativa,
12,311974397675532794362103776180837811128,Ativa,
13,312769065969843017438808810897935696824,Ativa,
14,315738527755813655554729195813441110968,Ativa,
15,316545861701867896469448425569889027000,Ativa,
16,316953094457191215163668183358271390648,Ativa,
17,317642382164822840386524793815058088888,Inativa,Motivos financeiros
18,318309481787857858337020517233906156472,Ativa,
19,319142963245930356883730671390263870392,Ativa,
20,320793289119457146119655744892670575544,Ativa,
21,322257043366064782270486402943590597560,Ativa,
22,323202346264287475787429079434005840824,Ativa,
23,324269538442183701899854067660518327224,Ativa,
24,324728269344684967386368062514761302968,Ativa,
25,325474600537045237789558576687803007928,Ativa,
26,326125062562864910286715779909987599288,Inativa,Insatisfação
27,326823061644649466419306854554618037176,Ativa,
28,327617016568584411058026092533375042488,Ativa,
29,328387026285734507070054757069096223672,Ativa,
30,329129395911512739226394359601891115960,Ativa,
31,329752131724947894860409718914104427448,Ativa,
32,330525394471222664056464241841219568568,Ativa,
33,331197249289343625636929696482671723448,Ativa,
34,331690842009458092691585824623631270840,Ativa,
35,332376170368896230064050436652868567992,Ativa,
36,333045643588452012860889967367729447864,Inativa,Motivos financeiros
37,333594694279306889635169756428951094200,Ativa,
38,334237237529511423927483500483137766328,Inativa,Desistência
39,334850461209755116989481515323410875320,Ativa,
40,335644337380896522448014225888210322360,Ativa,
41,336202893787461698142780146898268586936,Ativa,
42,336709944520173488192815742059379164088,Ativa,
43,337137776756206840641668223950135755704,Ativa,
44,337667813004970944032311112660297188280,Ativa,
45,338307184276461057237692781781621932984,Ativa,
46,338751654347394242683845762227953206200,Ativa,
47,339528091449228308394910262257021879224,Ativa,
48,340052581409703763221473604947027428280,Ativa,
49,549875701445929865852258698521740216,Ativa,
50,1204245339468968394742527498863772600,Ativa,
51,1620191608105605882054942647965189048,Ativa,
52,2218366691161339572008245211596850104,Ativa,
53,2735724294762772785850775294435394488,Ativa,
54,3109683202534163312685453919654249400,Inativa,Motivos financeiros
55,3498691024406163270514832939092804536,Ativa,
56,3857594838280268260789960315056161720,Ativa,
57,4470820182315374119990718889055224760,Ativa,
58,4946189632769935231402594630442943416,Ativa,
59,5750354927692580657702519781642732472,Ativa,
60,6213842292930390003916471931014218680,Ativa,
61,6679701749353876422982437128380875704,Ativa,
62,7240638803746280731728951216181609400,Ativa,
63,7982214246423469903828792966939673528,Ativa,
64,8408460334643286783233910743408837560,Ativa,
65,8808563030709296774636451598684128184,Ativa,
66,9153998294640464370756449422088078264,Ativa,
67,9953409662127766394287816757462959032,Ativa,
68,10787783308538338073318152278657729464,Ativa,
69,11442207138624536358487850956706022328,Ativa,
70,12237657573355100251050670253928612792,Ativa,
71,12749526091401220198829697649489478584,Ativa,
72,13327892549265137522350868660503184312,Inativa,Insatisfação
73,14440254841771133619943453947114816440,Ativa,
74,15201640018834414362924073467261486008,Ativa,
75,15829124847558837513668209057166787512,Ativa,
76,16856714669965983572462903093371339704,Ativa,
77,17786878096298313861300595512366597048,Ativa,
78,18808895960492156738747017633049347000,Ativa,
79,19448303518480701474808959744950404024,Ativa,
80,20432317534592352092109470031728083896,Ativa,
81,20952845453116793589885761543230194616,Ativa,
82,21881841056333663621862655767808836536,Ativa,
83,22675706135532317083819604375752672184,Ativa,
84,23431988939701516687188508437960197048,Ativa,
85,24400952536377470106667007106078737336,Ativa,
86,24853343442858019133680460826914587576,Ativa,
87,25952236710052102751183706453512029112,Inativa,Desistência
88,26379276426775825017341204286696326072,Ativa,
89,27151762182460816819968025657214239672,Ativa,
90,27860844174986843329611390178157659064,Ativa,
91,28609549201552366119792477730425275320,Ativa,
92,29518295512537515445770583045231084472,Ativa,
93,30377608520716164733686156129424638904,Ativa,
94,31104923052597111355712096252138357688,Ativa,
95,31810845901371044085529761876829012920,Ativa,
96,32209414264841802836567201528559174584,Ativa,
97,33047099331532820703874073916803908536,Ativa,
98,33726875460570120950077836352620331960,Ativa,
99,34338517825918191807343131232408175544,Ativa,
100,34923061862069671347089045626221233080,Ativa,
101,35278005931609475921948489210816365496,Inativa,Motivos financeiros
102,35888527376914294966751332231612203960,Ativa,
103,36394042984749208628114610772366328760,Ativa,
104,36769585029663959189917027906254799800,Ativa,
105,37504801936930403563307436996343104440,Ativa,
106,38104580756451750991443564971193271224,Ativa,
107,38718194952308476861066793496728568760,Ativa,
108,39413817902271067687887104222525916088,Ativa,
109,40111618438280363068076396340123534264,Ativa,
110,40880128683226714116004027785317450680,Ativa,
111,41685881314385332830225891555845342136,Ativa,
112,42164416642985801429009727252005651384,Ativa,
113,42975664381040084490095434241310720952,Ativa,
114,43844001952298083570852363358620091320,Ativa,
115,44468933336572834501863800456905753528,Ativa,
116,44911473805607985041157242900755776440,Ativa,
117,45739471961781033866778853694199038904,Ativa,
118,46396897746944897625358381421269615544,Ativa,
119,47145408268371447900572703318664807352,Ativa,
120,47909251103035921119745097591737811896,Ativa,
121,48646081412603805971665471797301871544,Ativa,
122,49412248880784610222692205609145861048,Ativa,
123,50004873714143569639473253834188653496,Ativa,
124,50597590372942883086439016007255458744,Ativa,
125,50947779722765719116791186415734227896,Ativa,
126,51312228715734197468408581453483606968,Ativa,
127,51695693101531399378335350775194321848,Ativa,
128,52430930291207447404134492676445963192,Ativa,
129,52884115460017201929004370851451372472,Ativa,
130,53381668241378619455050980397525763000,Ativa,
131,53843569617259218255417053827540714424,Inativa,Insatisfação
132,54236540194135694169367968728805016504,Ativa,
133,54740446677989943124356327999837307832,Ativa,
134,55069241888632727326935620111873344440,Ativa,
135,55553962559880684545877351459375547320,Ativa,
136,56055386508490711537617243671128966072,Ativa,
137,56445980240491759524168970678116287416,Ativa,
138,56876060179495641656538260758329557944,Ativa,
139,57363623002617473077743694449819780024,Ativa,
140,57929312399881970501938639250808636344,Ativa,
141,58556798575485156399456340951846618040,Ativa,
142,58912534451281128532169307759418016696,Ativa,
143,59633611429155489636208897389230293944,Ativa,
144,60149384707191125101960798190558249912,Ativa,
145,60703190355447457963669507272884880312,Inativa,Desistência
146,61203120536281441019513016407275340728,Ativa,
147,61799713512159927366599170726910231480,Ativa,
148,62186340527748373680596630565955044280,Ativa,
149,62796397458336371591271060630287942584,Ativa,
150,63207590195678478245739645621869216696,Ativa,
151,63556198785202829672603323309341541304,Ativa,
152,63976900645066223366039238573958628280,Ativa,
153,64702626414604271439493771840528319416,Ativa,
154,65182031113832009065136663265108296632,Ativa,
155,65847031349016724039175707934597579704,Ativa,
156,66371179360742767304121417768896824248,Ativa,
157,67210199105059500467334335516616426424,Ativa,
158,67604755195924211838713213510450676664,Ativa,
159,68272649715113735405307892665281676216,Ativa,
160,68625169482108766008537453263877047224,Ativa,
161,69052208010410050558967853839693382584,Ativa,
162,69756279851623162533956225082960643000,Ativa,
163,70233233310730871331652896874574382008,Ativa,
164,70603411846727893739071308664582439864,Inativa,Motivos financeiros
165,71035814755456694101154841983359124408,Ativa,
166,71784521841954442261472931378647794616,Ativa,
167,72333535137116612303467824397206946744,Ativa,
168,72926226839044733760292179795371099064,Ativa,
169,73506403105824964420464550279737770936,Ativa,
170,74039606579613738041389158050497299384,Ativa,
171,74581044553245269211214978981258593208,Ativa,
172,75125577416589095090985634068494025656,Ativa,
173,75495558674461456981204925901202260920,Ativa,
174,75987627837010774728667385171447907256,Ativa,
175,76651661013243840592851688764704293816,Ativa,
176,77047625384697243014600643705858950072,Ativa,
177,77773433789208793469605079645566534584,Ativa,
178,78277942407098150830720756185471124408,Ativa,
