idAtividade,idAluno,Tipo,Data,Nota
319118302609065282506724543666965447607,319117509931299327290553680231638762423,Prova,2022-08-04,0
319118302688293445018892174158991721399,319117509931299327290553680231638762423,Prova,2022-05-23,9
319118302767521607533652470661499847607,319117509931299327290553680231638762423,Prova,2022-03-31,8
319474044347745280694827637085925802935,319470870467554959265676434797668598711,Prova,2022-07-31,8
319474044426973443208432760284013396919,319470870467554959265676434797668598711,Prova,2022-03-24,7
319474829498835797052902231431490831287,319470870467554959265676434797668598711,Esportiva,2022-07-06,7
319474829578063959566776444707313812407,319470870467554959265676434797668598711,Esportiva,2022-04-11,10
320194221769062454839077847399605207991,320194221689834292325592914016573064119,Trabalho de casa,2022-06-09,5
320195028074072362506479865609408742327,320194221689834292325592914016573064119,Trabalho de casa,2022-05-15,6
320195028153300525019960295392813515703,320194221689834292325592914016573064119,Prova,2022-06-15,9
320195028232528687533467183824029090743,320194221689834292325592914016573064119,Prova,2022-03-14,10
320195028311756850051877929299497714615,320194221689834292325592914016573064119,Laboratorial,2022-04-18,9
320195811244458816009077268047775138743,320194221689834292325592914016573064119,Trabalho de casa,2022-04-03,7
320568179013042432570424246374242714551,320567389742087465469821033779183223735,Esportiva,2022-06-25,10
320568971056983087667979061233660986295,320567389742087465469821033779183223735,Trabalho de casa,2022-04-20,9
320568971136211250183455430076921021367,320567389742087465469821033779183223735,Laboratorial,2022-04-12,9
321259843486321323208283856552191067063,321258272233402340315912674181367727031,Prova,2022-07-08,8
321259843565549485722428004330679567287,321258272233402340315912674181367727031,Trabalho em grupo,2022-03-21,9
321259843644777648236551041485914768311,321258272233402340315912674181367727031,Esportiva,2022-06-28,7
321668657081171289020081930169563218871,321667863928036358717165927218878350263,Prova,2022-06-09,4
321668657160399451534956505512615871415,321667863928036358717165927218878350263,Trabalho em grupo,2022-06-20,9
321669449838165406747636234811800290231,321667863928036358717165927218878350263,Trabalho de casa,2022-06-29,1
321669449917393569261715361870668628919,321667863928036358717165927218878350263,Trabalho de casa,2022-05-29,9
321669449996621731775656566190948746167,321667863928036358717165927218878350263,Prova,2022-04-05,9
322273960084323943530290267727564374967,322273167802698800884046383750356140983,Laboratorial,2022-05-20,8
322273960163552106046031223048932426679,322273167802698800884046383750356140983,Trabalho de casa,2022-03-31,0
322273960242780268559492794008897586103,322273167802698800884046383750356140983,Esportiva,2022-05-25,8
322898277925708183993907673857553335223,322897485168714066267502631545225872311,Prova,2022-07-06,10
322898278004936346510703878866609636279,322897485168714066267502631545225872311,Prova,2022-04-17,9
322899070207333326636940491300446405559,322897485168714066267502631545225872311,Trabalho de casa,2022-06-26,5
322899070286561489154058703682859697079,322897485168714066267502631545225872311,Esportiva,2022-05-09,3
322899070365789651669515650752726696887,322897485168714066267502631545225872311,Prova,2022-05-17,1
323376023824897360465038209824227328951,323375230750990592680145642781057221559,Trabalho em grupo,2022-05-18,5
323376023904125522981216858734380450743,323375230750990592680145642781057221559,Prova,2022-03-23,8
323376023983353685495724109232825697207,323375230750990592680145642781057221559,Prova,2022-04-22,9
323815744801313115879393620915883606967,323814168081650919508493708918033482679,Laboratorial,2022-06-12,8
323815744880541278395743969561830228919,323814168081650919508493708918033482679,Prova,2022-04-21,10
323815744959769440907880919281395041207,323814168081650919508493708918033482679,Prova,2022-04-04,9
323815745038997603422277268639016289207,323814168081650919508493708918033482679,Laboratorial,2022-03-28,10
323815745118225765936674462421567669175,323814168081650919508493708918033482679,Prova,2022-06-23,10
324187321714378515054375505015725097911,324186528561243584753490906971961033655,Prova,2022-04-14,10
324187321793606677566419849467952104375,324186528561243584753490906971961033655,Prova,2022-06-24,10
324187321872834840083109093985858356151,324186528561243584753490906971961033655,Prova,2022-04-16,7
324187321952063002597524302166919218103,324186528561243584753490906971961033655,Trabalho em grupo,2022-03-22,4
324187322031291165112534829923723117495,324186528561243584753490906971961033655,Trabalho de casa,2022-03-27,8
324188112332212244895822731862530589623,324186528561243584753490906971961033655,Prova,2022-05-24,9
324856813948693301275942680299678466999,324856018022572682972485143231667110839,Prova,2022-08-07,9
324857594583778554319569115577495847863,324856018022572682972485143231667110839,Trabalho de casa,2022-07-10,7
324857594663006716835722994689698431927,324856018022572682972485143231667110839,Laboratorial,2022-08-03,7
324857594742234879350398848699193361335,324856018022572682972485143231667110839,Laboratorial,2022-05-13,4
324857594821463041862190428622334198711,324856018022572682972485143231667110839,Prova,2022-07-31,6
325174509769136812125796360222364926903,325172919580686988325327386580269401015,Trabalho em grupo,2022-05-24,9
325174509848364974641739977526964650935,325172919580686988325327386580269401015,Trabalho de casa,2022-03-17,0
325174509927593137155170023289538216887,325172919580686988325327386580269401015,Prova,2022-06-12,8
325174510006821299668665652721685365687,325172919580686988325327386580269401015,Trabalho em grupo,2022-05-01,6
325175295870965278657995115246198719415,325172919580686988325327386580269401015,Laboratorial,2022-07-28,5
