idChamado,id_responsavel,motivo,prioridade,createdDate,closeDate,SLA
319121473637041753423292963610412975031,319120681038503960719604138216098366391,Atualização cadastral,Média,2022-04-23,2022-06-04,0
319121473716269915936391431850421388215,319120681038503960719604138216098366391,Financiamento escolar,Baixa,2022-03-21,2022-03-17,1
319121473795498078449533810186796663735,319120681038503960719604138216098366391,Atualização cadastral,Baixa,2022-05-11,2022-06-03,0
319477227576858778804796715458791474103,319476442901137237531686368450936308663,Outros,Alta,2022-03-15,2022-06-18,1
319477999100705342710603482690654307255,319476442901137237531686368450936308663,Outros,Média,2022-07-06,2022-04-12,0
320198188406246893997600275304766768055,320197391608616488040618635402810753975,Financiamento escolar,Média,2022-02-10,2022-07-08,0
320198188485475056511612692794154681271,320197391608616488040618635402810753975,Financiamento escolar,Alta,2022-07-26,2022-05-15,0
320198978865624298814670019921013113783,320197391608616488040618635402810753975,Financiamento escolar,Alta,2022-07-12,2022-05-07,0
320572141530362420987912688156243395511,320571347584945865543816416199061013431,Isenção de taxas,Alta,2022-08-07,2022-04-22,0
320572141609590583501948468068698293175,320571347584945865543816416199061013431,Isenção de taxas,Baixa,2022-03-18,2022-06-27,0
320572949816076391509194246305435878327,320571347584945865543816416199061013431,Atualização cadastral,Média,2022-07-09,2022-06-11,0
321263018951074894923696558555676279735,321262220885793888735231666426241876919,Financiamento escolar,Alta,2022-04-28,2022-07-05,0
321263817174812226136022426333405774775,321262220885793888735231666426241876919,Atualização cadastral,Alta,2022-02-22,2022-02-18,0
321263817254040388650341088597454881719,321262220885793888735231666426241876919,Atualização cadastral,Alta,2022-05-05,2022-07-13,0
321671826286900022108363419878640845751,321671033688362229404426896504820859831,Isenção de taxas,Média,2022-06-09,2022-07-01,0
321672618330840677208760287577906611127,321671033688362229404426896504820859831,Atualização cadastral,Alta,2022-04-14,2022-03-31,0
322276336849971208945927430571255137207,322275544647574228817381597428484146103,Financiamento escolar,Alta,2022-03-06,2022-06-25,0
322276336929199371459309062637834470327,322275544647574228817381597428484146103,Atualização cadastral,Média,2022-04-09,2022-08-10,0
322277129131596351587549776905851110327,322275544647574228817381597428484146103,Atualização cadastral,Média,2022-08-08,2022-03-06,0
322902244959033435723504654700882690999,322901452281267480509007160002100855735,Atualização cadastral,Baixa,2022-06-04,2022-06-05,1
322903033992303915282285098760031962039,322901452281267480509007160002100855735,Atualização cadastral,Alta,2022-04-14,2022-06-29,1
322903034071532077796862436527678161847,322901452281267480509007160002100855735,Problemas com acesso na escola,Alta,2022-05-18,2022-05-06,0
323378400986685438450776866611597149111,323377608863516620837028484668260090807,Boleto sem baixa,Média,2022-08-01,2022-05-26,0
323378401065913600965829615614907646903,323377608863516620837028484668260090807,Programa de inclusão,Média,2022-06-21,2022-05-26,0
323379193426766906125475960806971802551,323377608863516620837028484668260090807,Programa de inclusão,Média,2022-05-14,2022-06-13,0
323818122993067306553970010037896348599,323817325403155275454056200874395698103,Boleto sem baixa,Média,2022-03-22,2022-03-28,0
323818909966405560742525350586314130359,323817325403155275454056200874395698103,Financiamento escolar,Alta,2022-04-20,2022-03-12,0
324189696895462530184325940046631011255,324188904613837387538752529463947559863,Atualização cadastral,Baixa,2022-05-02,2022-02-16,0
324190489177087672827960550989731464119,324188904613837387538752529463947559863,Problemas com acesso ao portal,Média,2022-07-13,2022-04-19,0
324860769969303963521248904743466828727,324859971666338469795459495680935199671,Programa de inclusão,Alta,2022-02-23,2022-05-12,0
324860770048532126033953026541103612855,324859971666338469795459495680935199671,Financiamento escolar,Baixa,2022-02-13,2022-08-08,0
324861572867502883076927938819894018999,324859971666338469795459495680935199671,Isenção de taxas,Baixa,2022-03-17,2022-04-09,0
325177672082015406475002390434099233719,325176879800390263830038936125947773879,Atualização cadastral,Baixa,2022-04-07,2022-04-15,0
325178464363640549118555092158976885687,325176879800390263830038936125947773879,Atualização cadastral,Alta,2022-05-07,2022-03-14,0
325178464442868711629867883146732897207,325176879800390263830038936125947773879,Financiamento escolar,Alta,2022-02-27,2022-05-25,0
325694240335433710070715356823234544567,325693447895352242399471649441959904183,Financiamento escolar,Média,2022-04-20,2022-04-26,0
325694240414661872583916844904719057847,325693447895352242399471649441959904183,Financiamento escolar,Alta,2022-07-29,2022-06-18,0
