idOcorrencia,idAluno,Area,Tipo,Aula,Data
319119888123053517963243342584759976887,319117509931299327290553680231638762423,Pátio,Moderada,Química,2022-07-25
319119888202281680480337629594152862647,319117509931299327290553680231638762423,Sala de aula,Notificação,Geografia,2022-07-15
319475623761165002554907878517352170423,319470870467554959265676434797668598711,Pátio,Moderada,Informática,2022-06-21
320196597900884420141918456810880369591,320194221689834292325592914016573064119,Sala de aula,Notificação,Química,2022-06-17
320570556333286835585137997661763535799,320567389742087465469821033779183223735,Pátio,Leve,Informática,2022-03-17
321260632519591802767007724141021496247,321258272233402340315912674181367727031,Pátio,Moderada,Astronomia,2022-03-28
321261425751954895580741122120451621815,321258272233402340315912674181367727031,Biblioteca,Grave,Português,2022-07-28
321670242119790549393448054699757667255,321667863928036358717165927218878350263,Pátio,Moderada,Química,2022-05-14
322274752207492761146212480916037829559,322273167802698800884046383750356140983,Sala de aula,Grave,Astronomia,2022-07-21
322274752286720923656937552152421991351,322273167802698800884046383750356140983,Quadra de Esportes,Leve,Biologia,2022-06-18
322900656038234212154560028632865309623,322897485168714066267502631545225872311,Sala de aula,Leve,Informática,2022-06-12
323376822603231829279699583326142858167,323375230750990592680145642781057221559,Pátio,Moderada,Matemática,2022-07-25
323816532566932995208929664712311047095,323814168081650919508493708918033482679,Pátio,Moderada,Geografia,2022-06-03
324188112411440407410081158481563616183,324186528561243584753490906971961033655,Pátio,Grave,Português,2022-04-16
324859176532499476636411590027222713271,324856018022572682972485143231667110839,Cantina,Leve,Química,2022-06-03
325176087994134096273170575321458803639,325172919580686988325327386580269401015,Pátio,Leve,Biologia,2022-04-06
325176088073362258786841000714143269815,325172919580686988325327386580269401015,Quadra de Esportes,Moderada,Física,2022-06-03
325692655376042612212929746877683073975,325690278848079834339961747824871474103,Sala de aula,Grave,Astronomia,2022-07-16
326268644989031101600282658569976021943,326267063436450991857870763205738103735,Laboratório,Notificação,Astronomia,2022-06-02
326269436557602781617796786384307225527,326267063436450991857870763205738103735,Pátio,Notificação,Física,2022-05-10
